id,domain,mechanism,definition,disposition,validation
C001,Profile,UGTS chess solver profile,"A versioned application profile mapping standard chess into typed state, verified moves, deterministic transitions, proof search and exact bounded tablebases.",ENGINEERING,Implemented
C002,Governance,Evidence boundary,"Separate exact rule/proof results, heuristic search results, external standards and unproved full-game claims.",RETAIN,Enforced
C003,State,Position tuple,"q carries the serialized FEN position, exact repetition-count context, rule profile and lineage; proof identity projects away non-semantic fullmove notation.",ENGINEERING,Implemented
C004,Coordinates,Square address,Map a1..h8 bijectively to integer cells 0..63 with explicit file/rank transforms.,RETAIN,Exact
C005,Identity,Piece identity,"Piece type, color and square are distinct fields; captured pieces leave the board through a verified event.",ENGINEERING,Implemented
C006,State,Side-to-move bit,"One bit selects the mover only; it never replaces board, rights, clocks or lineage.",RETAIN,Implemented
C007,State,Castling-right mask,Four explicit rights are carried and patched by king/rook moves or home-rook capture.,ENGINEERING,Implemented
C008,State,En-passant target,A transient target square is typed separately and admitted only under pawn and king-safety guards.,ENGINEERING,Implemented
C009,State,Move counters,Halfmove is rule-authoritative for draw guards; fullmove remains explicit for FEN round trips and replay lineage but is excluded from game-value identity.,RETAIN,Implemented
C010,Encoding,Strict FEN codec,Parse and serialize six-field Forsyth-Edwards positions with structure validation.,ENGINEERING,Implemented
C011,Persistence,Canonical state record,Maintain separate canonical serialized-position and semantic game-state records so notation metadata cannot split equivalent proof states.,ENGINEERING,Implemented
C012,Persistence,SHA-256 state identity,"Use SHA-256 over canonical serialized position and separately over semantic game state; hashes are integrity metadata, not legal identity.",RETAIN,Implemented
C013,Indexing,Compact 64-bit cache key,Use deterministic BLAKE2b-64 as a transposition/index key while keeping SHA-256 authoritative.,ENGINEERING,Implemented
C014,Identity,Repetition identity,"Board, side, castling and effective en-passant rights form the repetition key; clocks are excluded.",ENGINEERING,Implemented
C015,Support,Piece movement support,"Leaper offsets, pawn direction and finite slider rays provide coarse move support.",RETAIN,Implemented
C016,Compatibility,Occupancy and color gate,"A supported destination must agree with side, own occupancy, capture and promotion semantics.",ENGINEERING,Implemented
