id,legacy_id,domain,name,definition,provenance,validation
USF001,M886,release,Release identity,Component-scoped major release identity with legacy UGTS-KC 5.0 alias.,engineering-derived,implemented-and-tested
USF002,M887,source,Source register,Content-hashed source and parent register without raw-source redistribution.,engineering-derived,implemented-and-tested
USF003,M888,referential,OperatorCell,"One content-addressed record co-addresses literal, glyph, semantics and field action.",engineering-derived,implemented-and-tested
USF004,M889,unicode,Unicode scalar key,Exact Unicode scalar sequence is a canonical cold-atlas lookup key.,engineering-derived,implemented-and-tested
USF005,M890,unicode,UTF-8 literal key,UTF-8 spelling is recorded and round-tripped without ASCII aliasing.,engineering-derived,implemented-and-tested
USF006,M891,unicode,NFC normalization profile,NFC is explicit; compatibility normalization is not silently applied.,engineering-derived,implemented-and-tested
USF007,M892,typing,Typed signature,"Every operator declares domain, codomain, arity and type parameters.",engineering-derived,implemented-and-tested
USF008,M893,typing,Canonical argument order,One semantic port order is authoritative for each converse family.,engineering-derived,implemented-and-tested
USF009,M894,typing,Surface argument map,Surface operands map explicitly to canonical semantic ports.,engineering-derived,implemented-and-tested
USF010,M895,semantics,Semantic evaluator,Literal dispatch selects a bounded typed semantic kernel.,engineering-derived,implemented-and-tested
USF011,M896,geometry,Canonical glyph SDF,A versioned capsule-union field represents the literal operator shape.,engineering-derived,implemented-and-tested
USF012,M897,field,Set-field action,Operator records declare predicates or sign-compatible field transforms.,engineering-derived,implemented-and-tested
USF013,M898,relation,Converse link,Direct and converse cells reference each other by stable operator ID.,engineering-derived,implemented-and-tested
USF014,M899,integrity,Operator content hash,Every cell carries a canonical SHA-256 content address.,engineering-derived,implemented-and-tested
USF015,M900,provenance,Provenance class,"Source motif, engineering normalization and measured evidence stay distinct.",engineering-derived,implemented-and-tested
USF016,M901,exactness,Capability class,"Exact SDF, metric field, bound, residual, membership field and oracle remain distinct.",engineering-derived,implemented-and-tested
USF017,M902,field,Signed set field,"phi_A = d(x,A) - d(x,X\A) under a declared metric profile.",engineering-derived,implemented-and-tested
